gid,gisjoin,total_pop,native_pop,forgn_pop,forgn_pct,res_tickets
1192,G17003100620002,928,882,46,0.04957,1
916,G17003100626001,2281,1971,310,0.13591,6
716,G17003104401022,674,674,0,0,1
1436,G17003104601001,917,846,71,0.07743,20
1360,G17003101606023,1590,1176,414,0.26038,70
963,G17003100309001,374,294,80,0.2139,13
2163,G17003106910003,530,530,0,0,1
448,G17003101503007,1340,898,442,0.32985,24
1145,G17003108312003,1967,1341,626,0.31825,4
491,G17003102435002,1904,1690,214,0.11239,1
907,G17003100301041,2928,2060,868,0.29645,30
306,G17003108426002,810,466,344,0.42469,2
757,G17003100407003,781,582,199,0.2548,6
345,G17003102521023,1248,1248,0,0,2
1421,G17003100209022,1934,836,1098,0.56774,357
2041,G17003100206022,1057,446,611,0.57805,54
1173,G17003100314006,776,660,116,0.14948,39
183,G17003105805021,1275,596,679,0.53255,4
1827,G17003101004002,954,818,136,0.14256,4
711,G17003101005001,870,799,71,0.08161,1
1785,G17003101913013,1461,830,631,0.4319,3
749,G17003100403002,824,491,333,0.40413,212
2137,G17003107304001,855,835,20,0.02339,3
1088,G17003100625001,1342,1259,83,0.06185,4
772,G17003101608003,1149,809,340,0.29591,2
548,G17003106913001,1347,1339,8,0.00594,9
212,G17003108403001,583,366,217,0.37221,1
1195,G17003100632001,1012,861,151,0.14921,1
1918,G17003104005001,1329,1329,0,0,2
1534,G17003101403021,1153,588,565,0.49003,11
962,G17003100713002,1949,1807,142,0.07286,3
1434,G17003104701001,1089,1076,13,0.01194,12
1661,G17003102414003,991,910,81,0.08174,1
740,G17003101511004,1374,904,470,0.34207,46
1379,G17003100105031,1537,1002,535,0.34808,20
953,G17003102434002,370,320,50,0.13514,3
615,G17003106608004,819,653,166,0.20269,1
1185,G17003100321002,1607,1326,281,0.17486,5
144,G17003105001002,688,682,6,0.00872,5
106,G17003104208001,1163,1163,0,0,2
866,G17003101710006,1285,917,368,0.28638,14
497,G17003102514004,1389,1380,9,0.00648,1
1351,G17003101505013,1569,1184,385,0.24538,49
1046,G17003102838002,2909,2521,388,0.13338,1
1468,G17003105103002,1289,1278,11,0.00853,3
550,G17003107002003,1686,1167,519,0.30783,13
384,G17003102514002,647,637,10,0.01546,1
1076,G17003104803001,785,778,7,0.00892,3
1831,G17003102204001,1089,970,119,0.10927,4
1539,G17003100703001,2120,2024,96,0.04528,2
518,G17003100203012,1360,806,554,0.40735,76
620,G17003103807001,1216,1176,40,0.03289,48
214,G17003102715001,1286,1286,0,0,5
1541,G17003100818002,2689,2386,303,0.11268,3
1845,G17003101007001,844,653,191,0.2263,1
1114,G17003107107003,873,873,0,0,2
486,G17003100105022,2468,1613,855,0.34643,35
330,G17003105306001,1284,1284,0,0,2
1476,G17003108370001,1265,1264,1,0.00079,1
1462,G17003108439004,1035,1035,0,0,31
1069,G17003103906002,1150,957,193,0.16783,11
2187,G17003106610003,735,735,0,0,6
745,G17003101603003,1112,684,428,0.38489,17
292,G17003104408002,1028,1016,12,0.01167,1
1383,G17003102819003,2077,1130,947,0.45595,2
1273,G17003100306043,716,441,275,0.38408,15
2221,G17003107001001,2267,2113,154,0.06793,5
1933,G17003101605021,896,620,276,0.30804,14
1802,G17003100902003,1714,1454,260,0.15169,5
27,G17003104107001,1959,1520,439,0.22409,90
1496,G17003104910004,1457,1456,1,0.00069,2
1854,G17003101102002,1386,1035,351,0.25325,32
883,G17003108316002,1088,744,344,0.31618,3
2032,G17003100202002,1460,620,840,0.57534,53
1093,G17003100308003,840,728,112,0.13333,18
